Working Set Size, , Average
16,,TotalAvg: 5.553018
16,,Total number of partitions: 1226
16,,Data of all working set sizes written to file: data512_8192.csv
16,,Ê To find avg please use function =AVG(A2:A1227)
16,,
16,,
16,,
16,,
16,,
16,,
16,,
16,,
16,,
16,,
16,,
16,,
16,,
16,,
16,,
16,,
17,,
17,,
16,,
18,,
16,,
17,,
17,,
16,,
18,,
16,,
17,,
17,,
16,,
18,,
16,,
17,,
17,,
17,,
14,,
8,,
6,,
3,,
2,,
2,,
3,,
2,,
2,,
2,,
6,,
5,,
2,,
5,,
2,,
5,,
4,,
2,,
3,,
2,,
4,,
6,,
8,,
9,,
10,,
9,,
10,,
9,,
9,,
9,,
10,,
9,,
10,,
10,,
9,,
10,,
8,,
10,,
9,,
10,,
9,,
10,,
9,,
10,,
8,,
10,,
9,,
10,,
9,,
10,,
9,,
10,,
8,,
10,,
9,,
10,,
9,,
10,,
9,,
10,,
8,,
10,,
9,,
10,,
9,,
10,,
9,,
10,,
8,,
10,,
9,,
10,,
9,,
10,,
9,,
10,,
8,,
10,,
9,,
10,,
9,,
10,,
9,,
9,,
7,,
10,,
11,,
10,,
11,,
10,,
11,,
10,,
11,,
11,,
10,,
10,,
11,,
10,,
11,,
10,,
12,,
6,,
7,,
8,,
9,,
9,,
10,,
9,,
9,,
9,,
10,,
6,,
7,,
8,,
5,,
2,,
2,,
5,,
5,,
3,,
4,,
4,,
3,,
2,,
2,,
3,,
5,,
5,,
2,,
9,,
6,,
5,,
2,,
1,,
3,,
3,,
2,,
6,,
6,,
1,,
3,,
3,,
2,,
6,,
4,,
2,,
3,,
3,,
2,,
8,,
7,,
9,,
9,,
10,,
9,,
10,,
10,,
8,,
3,,
4,,
4,,
2,,
3,,
3,,
2,,
1,,
8,,
6,,
6,,
5,,
3,,
2,,
1,,
7,,
3,,
2,,
2,,
1,,
5,,
4,,
3,,
2,,
2,,
4,,
3,,
2,,
5,,
6,,
8,,
9,,
9,,
7,,
4,,
1,,
3,,
2,,
3,,
2,,
5,,
2,,
4,,
3,,
4,,
3,,
3,,
3,,
2,,
14,,
10,,
11,,
4,,
1,,
4,,
2,,
2,,
4,,
1,,
3,,
2,,
9,,
6,,
2,,
5,,
2,,
4,,
3,,
2,,
3,,
2,,
5,,
4,,
2,,
5,,
4,,
3,,
2,,
4,,
3,,
2,,
5,,
11,,
12,,
12,,
12,,
12,,
12,,
12,,
8,,
5,,
5,,
5,,
5,,
2,,
2,,
15,,
8,,
9,,
10,,
5,,
4,,
3,,
2,,
4,,
4,,
3,,
6,,
4,,
3,,
3,,
2,,
2,,
5,,
2,,
2,,
4,,
3,,
2,,
3,,
8,,
3,,
3,,
3,,
2,,
1,,
7,,
2,,
2,,
5,,
3,,
5,,
4,,
4,,
2,,
2,,
2,,
2,,
9,,
16,,
16,,
16,,
3,,
3,,
2,,
2,,
6,,
4,,
5,,
5,,
5,,
6,,
6,,
7,,
6,,
7,,
7,,
7,,
7,,
4,,
2,,
4,,
1,,
3,,
3,,
3,,
2,,
5,,
8,,
10,,
9,,
10,,
11,,
9,,
10,,
11,,
12,,
11,,
5,,
4,,
4,,
3,,
4,,
4,,
2,,
3,,
2,,
3,,
2,,
3,,
6,,
9,,
10,,
9,,
4,,
3,,
3,,
2,,
2,,
7,,
4,,
3,,
1,,
5,,
2,,
2,,
4,,
3,,
3,,
2,,
2,,
9,,
2,,
3,,
5,,
4,,
2,,
2,,
6,,
4,,
3,,
3,,
3,,
2,,
6,,
4,,
4,,
2,,
4,,
3,,
2,,
1,,
7,,
7,,
10,,
9,,
10,,
7,,
2,,
2,,
2,,
7,,
6,,
3,,
3,,
2,,
2,,
2,,
4,,
6,,
3,,
3,,
3,,
2,,
5,,
4,,
4,,
3,,
2,,
2,,
1,,
5,,
4,,
4,,
4,,
4,,
4,,
4,,
4,,
6,,
8,,
9,,
2,,
2,,
6,,
3,,
2,,
1,,
4,,
3,,
2,,
3,,
3,,
2,,
2,,
6,,
5,,
7,,
5,,
3,,
3,,
2,,
2,,
1,,
5,,
4,,
2,,
2,,
4,,
2,,
1,,
5,,
6,,
7,,
8,,
9,,
10,,
9,,
9,,
9,,
9,,
9,,
9,,
9,,
9,,
10,,
9,,
9,,
9,,
9,,
9,,
9,,
9,,
10,,
9,,
9,,
9,,
9,,
9,,
9,,
8,,
9,,
9,,
10,,
9,,
9,,
9,,
9,,
9,,
9,,
10,,
9,,
9,,
9,,
9,,
7,,
4,,
5,,
5,,
4,,
4,,
5,,
5,,
5,,
5,,
5,,
5,,
5,,
6,,
6,,
5,,
2,,
2,,
3,,
7,,
11,,
10,,
11,,
10,,
10,,
10,,
11,,
9,,
8,,
10,,
10,,
11,,
8,,
2,,
3,,
2,,
2,,
2,,
5,,
7,,
7,,
3,,
5,,
4,,
4,,
4,,
3,,
3,,
2,,
5,,
4,,
4,,
3,,
5,,
4,,
3,,
3,,
3,,
3,,
2,,
6,,
6,,
7,,
4,,
3,,
2,,
2,,
2,,
5,,
5,,
5,,
2,,
2,,
4,,
5,,
4,,
6,,
8,,
2,,
2,,
3,,
3,,
2,,
7,,
4,,
4,,
2,,
3,,
4,,
2,,
4,,
3,,
3,,
4,,
9,,
12,,
12,,
10,,
8,,
6,,
2,,
2,,
4,,
1,,
3,,
2,,
2,,
6,,
4,,
2,,
2,,
4,,
5,,
2,,
2,,
4,,
3,,
3,,
2,,
7,,
6,,
7,,
8,,
9,,
6,,
4,,
7,,
5,,
2,,
2,,
3,,
2,,
2,,
6,,
3,,
3,,
2,,
3,,
2,,
2,,
9,,
12,,
6,,
5,,
4,,
3,,
2,,
3,,
2,,
2,,
5,,
7,,
7,,
4,,
2,,
2,,
4,,
3,,
2,,
2,,
2,,
6,,
4,,
6,,
7,,
4,,
2,,
6,,
6,,
3,,
3,,
2,,
1,,
6,,
2,,
2,,
3,,
3,,
3,,
3,,
1,,
2,,
5,,
11,,
12,,
12,,
12,,
12,,
12,,
12,,
13,,
12,,
12,,
13,,
12,,
13,,
12,,
13,,
8,,
5,,
5,,
6,,
5,,
6,,
6,,
7,,
7,,
4,,
2,,
2,,
4,,
2,,
1,,
2,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
7,,
4,,
2,,
5,,
4,,
7,,
6,,
2,,
2,,
2,,
5,,
3,,
4,,
4,,
3,,
4,,
3,,
2,,
2,,
6,,
6,,
8,,
10,,
9,,
7,,
5,,
2,,
3,,
2,,
2,,
2,,
6,,
3,,
2,,
5,,
2,,
4,,
3,,
4,,
3,,
2,,
2,,
5,,
7,,
10,,
9,,
6,,
3,,
3,,
2,,
2,,
2,,
5,,
5,,
2,,
4,,
3,,
1,,
3,,
2,,
2,,
2,,
6,,
8,,
4,,
4,,
4,,
3,,
3,,
2,,
2,,
6,,
3,,
2,,
1,,
4,,
3,,
1,,
3,,
3,,
1,,
7,,
8,,
10,,
11,,
9,,
10,,
10,,
9,,
11,,
10,,
9,,
10,,
11,,
10,,
9,,
10,,
10,,
9,,
11,,
10,,
10,,
12,,
12,,
12,,
12,,
13,,
14,,
2,,
1,,
6,,
6,,
6,,
4,,
3,,
2,,
2,,
8,,
10,,
4,,
5,,
4,,
3,,
3,,
3,,
3,,
1,,
5,,
6,,
4,,
4,,
3,,
2,,
2,,
5,,
2,,
2,,
2,,
4,,
2,,
3,,
2,,
1,,
6,,
6,,
7,,
7,,
8,,
9,,
9,,
9,,
10,,
7,,
4,,
4,,
6,,
5,,
2,,
2,,
2,,
6,,
5,,
2,,
4,,
5,,
2,,
2,,
6,,
3,,
4,,
4,,
1,,
3,,
3,,
2,,
10,,
15,,
12,,
2,,
1,,
7,,
7,,
9,,
9,,
10,,
9,,
8,,
11,,
6,,
6,,
2,,
3,,
3,,
2,,
5,,
3,,
1,,
3,,
2,,
5,,
6,,
6,,
3,,
2,,
2,,
4,,
5,,
5,,
3,,
4,,
3,,
3,,
2,,
2,,
7,,
7,,
8,,
10,,
7,,
4,,
3,,
3,,
3,,
3,,
2,,
4,,
5,,
2,,
2,,
4,,
3,,
3,,
2,,
2,,
12,,
7,,
6,,
7,,
5,,
4,,
1,,
2,,
4,,
3,,
3,,
2,,
5,,
8,,
3,,
3,,
2,,
2,,
2,,
7,,
4,,
3,,
3,,
2,,
2,,
5,,
3,,
3,,
3,,
2,,
2,,
2,,
5,,
4,,
4,,
4,,
5,,
5,,
5,,
4,,
4,,
5,,
5,,
5,,
4,,
5,,
5,,
5,,
5,,
2,,
4,,
4,,
4,,
5,,
5,,
5,,
6,,
6,,
6,,
6,,
6,,
7,,
7,,
8,,
8,,
7,,
5,,
2,,
4,,
3,,
4,,
2,,
3,,
2,,
2,,
2,,
8,,
12,,
12,,
13,,
13,,
12,,
10,,
11,,
6,,
3,,
2,,
2,,
5,,
2,,
4,,
2,,
2,,
2,,
1,,
5,,
7,,
3,,
3,,
2,,
2,,
6,,
3,,
3,,
2,,
4,,
3,,
2,,
2,,
4,,
10,,
12,,
12,,
13,,
12,,
10,,
4,,
2,,
2,,
4,,
3,,
3,,
7,,
5,,
6,,
2,,
6,,
3,,
4,,
5,,
3,,
2,,
1,,
4,,
3,,
2,,
2,,
6,,
7,,
8,,
9,,
10,,
9,,
10,,
11,,
3,,
2,,
2,,
5,,
9,,
2,,
2,,
2,,
6,,
5,,
3,,
3,,
2,,
7,,
3,,
3,,
2,,
2,,
4,,
2,,
2,,
3,,
3,,
2,,
4,,
6,,
8,,
9,,
10,,
5,,
5,,
2,,
5,,
5,,
2,,
2,,
5,,
6,,
2,,
3,,
2,,
5,,
4,,
3,,
2,,
3,,
2,,
2,,
6,,
5,,
6,,
5,,
3,,
2,,
2,,
4,,
10,,
5,,
2,,
3,,
2,,
2,,
4,,
6,,
6,,
3,,
2,,
5,,
3,,
2,,
3,,
2,,
2,,
6,,
3,,
2,,
1,,
2,,
5,,
3,,
1,,
3,,
2,,
2,,
2,,
