Working Set Size, , Average
2,,TotalAvg: 2.097075
2,,Total number of partitions: 9333
2,,Data of all working set sizes written to file: data512_1024.csv
2,,Ê To find avg please use function =AVG(A2:A9334)
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
3,,
3,,
4,,
2,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
4,,
2,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
2,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
2,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
2,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
2,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
2,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
2,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
2,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
2,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
2,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
2,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
2,,
3,,
4,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
3,,
3,,
3,,
4,,
3,,
3,,
3,,
4,,
2,,
3,,
