Working Set Size, , Average
1,,TotalAvg: 1.523144
1,,Total number of partitions: 77342
1,,Data of all working set sizes written to file: data512_128.csv
1,,Ê To find avg please use function =AVG(A2:A77343)
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
